,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
215,Silk,Alessandro Baricco,Edo Bay,Japan,Silk (novel),"Edo Bay, Japan","東京湾, 川崎区, 川崎市, 神奈川県, 日本",日本,"東京湾, 川崎区, 川崎市, 神奈川県, 日本","東京湾, 川崎区, 川崎市, 神奈川県, 日本",35.4169,139.771,"東京湾, 川崎区, 川崎市, 神奈川県, 日本"
216,Push Not the River,James Conroyd Martin,Warsaw,Poland,Push Not the River,"Warsaw, Poland","Warszawa, województwo mazowieckie, Polska",Polska,"Warszawa, województwo mazowieckie, Polska","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493,"Warszawa, województwo mazowieckie, Polska"
218,Veyi Padagalu,Viswanatha Satyanarayana,Subbannapeta,India,Veyipadagalu,"Subbannapeta, India","Subbannapeta, Nandigam, Bhogapuram, Vizianagaram, Andhra Pradesh, 535216, India",India,"Subbannapeta, Nandigam, Bhogapuram, Vizianagaram, Andhra Pradesh, 535216, India","Subbannapeta, Nandigam, Bhogapuram, Vizianagaram, Andhra Pradesh, 535216, India",18.0202262,83.5482365,"Subbannapeta, Nandigam, Bhogapuram, Vizianagaram, Andhra Pradesh, 535216, India"
219,Eagle in the Snow,Wallace Breem,Mainz,Germany,Eagle in the Snow,"Mainz, Germany","Mainz, Rheinland-Pfalz, Deutschland",Deutschland,"Mainz, Rheinland-Pfalz, Deutschland","Mainz, Rheinland-Pfalz, Deutschland",50.0012314,8.2762513,"Mainz, Rheinland-Pfalz, Deutschland"
220,The Load of Unicorn,Cynthia Harnett,London,England,The Load of Unicorn,"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
222,The Eagle of the Ninth,Rosemary Sutcliff,Hadrian's Wall,Roman Britain,The Eagle of the Ninth,"Hadrian's Wall, Roman Britain","Hadrian's Wall, Military Road, Haydon, Northumberland, North of Tyne, England, NE47 7AL, United Kingdom",,,"Hadrian's Wall, Military Road, Haydon, Northumberland, North of Tyne, England, NE47 7AL, United Kingdom",55.0288124,-2.287535,"Hadrian's Wall, Military Road, Haydon, Northumberland, North of Tyne, England, NE47 7AL, United Kingdom"
227,Old Mortality,Sir Walter Scott,Scotland,Scotland,A Tale of Old Mortality,"Scotland, Scotland","Alba / Scotland, United Kingdom","Alba / Scotland, United Kingdom","Scotland, Hacketstown ED, The Municipal District of Tullow, County Carlow, Leinster, Éire / Ireland","Scotland, Hacketstown ED, The Municipal District of Tullow, County Carlow, Leinster, Éire / Ireland",52.8645129,-6.5446592,"Scotland, Hacketstown ED, The Municipal District of Tullow, County Carlow, Leinster, Éire / Ireland"
228,Andersonville,MacKinlay Kantor,Andersonville,United States,Andersonville (novel),"Andersonville, United States","Andersonville, Sumter County, Georgia, 31711, United States",United States,"Andersonville, Sumter County, Georgia, 31711, United States","Andersonville, Sumter County, Georgia, 31711, United States",32.1959947,-84.1399085,"Andersonville, Sumter County, Georgia, 31711, United States"
229,Durgeshnandini,Bankim Chandra Chattopadhyay,"Mandaran (Hooghly district, West Bengal)",India,Durgeshnandini,"Mandaran (Hooghly district, West Bengal), India","Primary Health Centre, Mandaran, NH116A, Khirpai, Goghat - II, Hooghly, West Bengal, 712612, India",India,"Primary Health Centre, Mandaran, NH116A, Khirpai, Goghat - II, Hooghly, West Bengal, 712612, India","Primary Health Centre, Mandaran, NH116A, Khirpai, Goghat - II, Hooghly, West Bengal, 712612, India",22.8788799,87.6641534,"Primary Health Centre, Mandaran, NH116A, Khirpai, Goghat - II, Hooghly, West Bengal, 712612, India"
232,Pigeon English,Stephen Kelman,London,United Kingdom,Pigeon English,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
234,A Tale of Two Cities,Charles Dickens,London and Paris,England and France,A Tale of Two Cities,"London and Paris, England and France",,"France, Legoland Windsor, Government Lodge, Windsor, Windsor and Maidenhead, England, SL4 4AU, United Kingdom",,"France, Legoland Windsor, Government Lodge, Windsor, Windsor and Maidenhead, England, SL4 4AU, United Kingdom",51.4644439,-0.6520573027777781,"France, Legoland Windsor, Government Lodge, Windsor, Windsor and Maidenhead, England, SL4 4AU, United Kingdom"
235,The Reckoning,Sharon Kay Penman,Abergwyngregyn,Wales,The Reckoning (1991 novel),"Abergwyngregyn, Wales","Abergwyngregyn, Gwynedd, Cymru / Wales, LL33 0LF, United Kingdom","Cymru / Wales, United Kingdom","Abergwyngregyn, Gwynedd, Cymru / Wales, LL33 0LF, United Kingdom","Abergwyngregyn, Gwynedd, Cymru / Wales, LL33 0LF, United Kingdom",53.2342415,-4.0147306,"Abergwyngregyn, Gwynedd, Cymru / Wales, LL33 0LF, United Kingdom"
237,Tales of the Alhambra,Washington Irving,Granada,Spain,Tales of the Alhambra,"Granada, Spain","Granada, Comarca de la Vega de Granada, Granada, Andalucía, España",España,"Granada, Comarca de la Vega de Granada, Granada, Andalucía, España","Granada, Comarca de la Vega de Granada, Granada, Andalucía, España",37.1734995,-3.5995337,"Granada, Comarca de la Vega de Granada, Granada, Andalucía, España"
238,Island Beneath the Sea,Isabel Allende,Port-au-Prince,Haiti,Island Beneath the Sea,"Port-au-Prince, Haiti","Arrondissement de Port-au-Prince, Département de l'Ouest, Ayiti",Ayiti,"Arrondissement de Port-au-Prince, Département de l'Ouest, Ayiti","Arrondissement de Port-au-Prince, Département de l'Ouest, Ayiti",18.547327,-72.3395928,"Arrondissement de Port-au-Prince, Département de l'Ouest, Ayiti"
239,The Reluctant Fundamentalist,Mohsin Hamid,Lahore,Pakistan,The Reluctant Fundamentalist,"Lahore, Pakistan","لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان",پاکستان,"لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان","لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان",31.5656822,74.3141829,"لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان"
240,A Star Called Henry,Roddy Doyle,Dublin,Ireland,A Star Called Henry,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
241,Clear Light of Day,,Delhi,India,Clear Light of Day,"Delhi, India","Delhi, India",India,"Delhi, India","Delhi, India",28.6273928,77.1716954,"Delhi, India"
243,The Known World,Edward P. Jones,Virginia,United States,The Known World,"Virginia, United States","Virginia, United States",United States,"Virginia, United States","Virginia, United States",37.1232245,-78.4927721,"Virginia, United States"
245,Prague,,Budapest,Hungary,Prague (novel),"Budapest, Hungary","Budapest, Közép-Magyarország, Magyarország",Magyarország,"Budapest, Közép-Magyarország, Magyarország","Budapest, Közép-Magyarország, Magyarország",47.4978789,19.0402383,"Budapest, Közép-Magyarország, Magyarország"
247,Lady of the Glen: A Novel of 17th-Century Scotland and the Massacre of Glencoe,Jennifer Roberson,Glencoe,Scotland,Lady of the Glen,"Glencoe, Scotland","Glencoe, New Trier Township, Cook County, Illinois, 60022, United States","Alba / Scotland, United Kingdom","Glencoe, Highland, Alba / Scotland, PH49 4HS, United Kingdom","Glencoe, Highland, Alba / Scotland, PH49 4HS, United Kingdom",56.6827647,-5.1014552,"Glencoe, Highland, Alba / Scotland, PH49 4HS, United Kingdom"
248,Caravans,James A. Michener,Kabul,Afghanistan,Caravans (novel),"Kabul, Afghanistan","کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان",افغانستان,"کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان","کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان",34.5260109,69.1776838,"کابل, کابل ښاروالۍ, ولایت كابل, 1001, افغانستان"
252,Shiloh: A Novel,Shelby Foote,Pittsburg Landing,United States,Shiloh (Foote novel),"Pittsburg Landing, United States","Pittsburg Landing, Hardin County, West Tennessee, Tennessee, United States",United States,"Pittsburg Landing, Hardin County, West Tennessee, Tennessee, United States","Pittsburg Landing, Hardin County, West Tennessee, Tennessee, United States",35.1503154,-88.3230504,"Pittsburg Landing, Hardin County, West Tennessee, Tennessee, United States"
256,Fingersmith,Sarah Waters,London,United Kingdom,Fingersmith (novel),"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
257,Sleeping on Jupiter,Anuradha Roy,Jarmuli,India,Sleeping on Jupiter,"Jarmuli, India",,India,,India,22.3511148,78.6677428,India
269,History of Wolves,,Minnesota,USA,History of Wolves,"Minnesota, USA","Minnesota, United States",United States,"Minnesota, United States","Minnesota, United States",45.9896587,-94.6113288,"Minnesota, United States"
270,Kay the Left-Handed,Leslie Barringer,York,England,Kay the Left-Handed,"York, England","York, England, YO1 8RS, United Kingdom","England, United Kingdom","York, England, United Kingdom","York, England, United Kingdom",53.96565785,-1.0743052444639218,"York, England, United Kingdom"
271,Scaramouche,Rafael Sabatini,Paris,France,Scaramouche (novel),"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
272,Five Star Billionaire,Tash Aw,Shanghai,China,Five Star Billionaire,"Shanghai, China","上海市, 黄浦区, 上海市, 200001, 中国",中国,"上海市, 中国","上海市, 中国",31.2312707,121.4700152,"上海市, 中国"
273,Ein Kampf um Rom,Felix Dahn,Rome,Italy,A Struggle for Rome,"Rome, Italy","Roma, Roma Capitale, Lazio, Italia",Italia,"Roma, Roma Capitale, Lazio, Italia","Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
280,Footsteps,Pramoedya Ananta Toer,Batavia (NA),Dutch East Indies (now Indonesia),Footsteps (novel),"Batavia (NA), Dutch East Indies (now Indonesia)","Batavia, Nijmegen-Nieuw-West, Nijmegen, Gelderland, Nederland, 6541 GB, Nederland",,,"Batavia, Nijmegen-Nieuw-West, Nijmegen, Gelderland, Nederland, 6541 GB, Nederland",51.8549678,5.8418333,"Batavia, Nijmegen-Nieuw-West, Nijmegen, Gelderland, Nederland, 6541 GB, Nederland"
281,Something to Answer For,P. H. Newby,"Port Said, Cairo",Egypt,Something to Answer For,"Port Said, Cairo, Egypt","Cairo Tower, 3, شارع نهضة مصر, العزب, فاروك, بورسعيد, 42519, مصر",مصر,"شارع بورسعيد, العدوى, الظاهر, القاهرة, 11558, مصر","شارع بورسعيد, العدوى, الظاهر, القاهرة, 11558, مصر",30.0590779,31.2596911,"شارع بورسعيد, العدوى, الظاهر, القاهرة, 11558, مصر"
283,A Short History of Tractors in Ukrainian,Marina Lewycka,Peterborough,England,A Short History of Tractors in Ukrainian,"Peterborough, England","Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom","England, United Kingdom","Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom","Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom",52.5725769,-0.2427336,"Peterborough, City of Peterborough, Cambridgeshire and Peterborough, England, PE1 1XH, United Kingdom"
284,Animal's People,Indra Sinha,Bhopal,India,Animal's People,"Bhopal, India","Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,"Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India","Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",23.2584857,77.401989,"Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India"
285,Fortunata y Jacinta,,Madrid,Spain,Fortunata y Jacinta,"Madrid, Spain","Madrid, Comunidad de Madrid, España",España,"Madrid, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España",40.4167047,-3.7035825,"Madrid, Comunidad de Madrid, España"
286,Prophet Song,Paul Lynch,Dublin,Ireland,Prophet Song,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
288,The Children of Men,A.S. Byatt,London,United Kingdom,The Children's Book,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
290,Outlaw,Angus Donald,Nottingham,England,Outlaw (novel),"Nottingham, England","City of Nottingham, Nottinghamshire, England, United Kingdom","England, United Kingdom","City of Nottingham, Nottinghamshire, England, United Kingdom","City of Nottingham, Nottinghamshire, England, United Kingdom",52.9534193,-1.1496461,"City of Nottingham, Nottinghamshire, England, United Kingdom"
291,True Women,Janice Woods Windle,"Austin, San Antonio, and McDade, Texas",United States,True Women,"Austin, San Antonio, and McDade, Texas, United States",,United States,,United States,39.7837304,-100.445882,United States
295,Death Comes for the Archbishop,Willa Cather,Santa Fe,United States,Death Comes for the Archbishop,"Santa Fe, United States","Santa Fe, Argentina",United States,"Santa Fe, Santa Fe County, New Mexico, United States","Santa Fe, Santa Fe County, New Mexico, United States",35.6876096,-105.938456,"Santa Fe, Santa Fe County, New Mexico, United States"
296,The Beginning of Spring,Penelope Fitzgerald,Moscow,Russia,The Beginning of Spring,"Moscow, Russia","Москва, Центральный федеральный округ, Россия",Россия,"Москва, Центральный федеральный округ, Россия","Москва, Центральный федеральный округ, Россия",55.625578,37.6063916,"Москва, Центральный федеральный округ, Россия"
297,The Garden of Evening Mists,Tan Twinkler,Malaysia,Malaysia,The Garden of Evening Mists,"Malaysia, Malaysia",Malaysia,Malaysia,Malaysia,Malaysia,4.5693754,102.2656823,Malaysia
298,Ramage,Dudley Pope,Monte Argentario,Italy,Ramage (novel),"Monte Argentario, Italy","Monte Argentario, Grosseto, Toscana, Italia",Italia,"Monte Argentario, Grosseto, Toscana, Italia","Monte Argentario, Grosseto, Toscana, Italia",42.407352,11.1503838,"Monte Argentario, Grosseto, Toscana, Italia"
302,Out of the Shelter,David Lodge,Heidelberg,Germany,Out of the Shelter,"Heidelberg, Germany","Heidelberg, Baden-Württemberg, Deutschland",Deutschland,"Heidelberg, Baden-Württemberg, Deutschland","Heidelberg, Baden-Württemberg, Deutschland",49.4093582,8.694724,"Heidelberg, Baden-Württemberg, Deutschland"
306,Romola,George Eliot,Florence,Italy,Romola,"Florence, Italy","Firenze, Toscana, Italia",Italia,"Firenze, Toscana, Italia","Firenze, Toscana, Italia",43.7697955,11.2556404,"Firenze, Toscana, Italia"
307,The Bay of Noon,Shirley Hazzard,Naples,Italy,The Bay of Noon,"Naples, Italy","Napoli, Campania, Italia",Italia,"Napoli, Campania, Italia","Napoli, Campania, Italia",40.8358846,14.2487679,"Napoli, Campania, Italia"
308,Shuggie Bain,Douglas Stuart,Glasgow,Scotland,Shuggie Bain,"Glasgow, Scotland","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Alba / Scotland, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom",55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom"
315,The Birth of Venus: A Novel,Sarah Dunant,Florence,Italy,The Birth of Venus (novel),"Florence, Italy","Firenze, Toscana, Italia",Italia,"Firenze, Toscana, Italia","Firenze, Toscana, Italia",43.7697955,11.2556404,"Firenze, Toscana, Italia"
321,The Moor's Last Sigh,Salman Rushdie,Bombay and Cochin,India,The Moor's Last Sigh,"Bombay and Cochin, India",,India,,India,22.3511148,78.6677428,India
322,Master Georgie,Beryl Bainbridge,"Liverpool, Sevastopol","England, Ukraine",Master Georgie,"Liverpool, Sevastopol, England, Ukraine",,"Embassy of Ukraine, 60, Holland Park, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 3SJ, United Kingdom",,"Embassy of Ukraine, 60, Holland Park, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 3SJ, United Kingdom",51.50610605,-0.20816926637591013,"Embassy of Ukraine, 60, Holland Park, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 3SJ, United Kingdom"
325,Seek the Fair Land,Walter Macken,Drogheda,Ireland,The Silent People,"Drogheda, Ireland","Drogheda, County Louth, Leinster, Éire / Ireland",Éire / Ireland,"Drogheda, County Louth, Leinster, Éire / Ireland","Drogheda, County Louth, Leinster, Éire / Ireland",53.7149877,-6.3524183,"Drogheda, County Louth, Leinster, Éire / Ireland"
327,The Wishing Game,Patrick Redmond,Norwich,England,The Wishing Game,"Norwich, England","Norwich, Norfolk, England, United Kingdom","England, United Kingdom","Norwich, Norfolk, England, United Kingdom","Norwich, Norfolk, England, United Kingdom",52.6285576,1.2923954,"Norwich, Norfolk, England, United Kingdom"
329,The Silver Pigs,Lindsey Davis,Rome,Roman Empire,The Silver Pigs,"Rome, Roman Empire","Roma, Roma Capitale, Lazio, Italia","New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
331,The Bookshop,Penelope Fitzgerald,"Hardborough, Suffolk",England,The Bookshop,"Hardborough, Suffolk, England",,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom"
332,The Ides of March,Thornton Wilder,Rome,Roman Republic,Ides of March (novel),"Rome, Roman Republic","Roma, Roma Capitale, Lazio, Italia","Roman, Promitheos, Κάτω Πάφος, Δήμος Πάφου, Επαρχία Πάφου, Κύπρος, 8040, Κύπρος - Kıbrıs",,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
333,Alfarrábios,José de Alencar,Rio de Janeiro,Brazil,Alfarrábios,"Rio de Janeiro, Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",Brasil,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
334,The Man Without Qualities,Robert Musil,Vienna,Austria-Hungary,The Man Without Qualities,"Vienna, Austria-Hungary","Wien, Österreich","Ungarn, Erinnerungsstraße, Brunngraben, Mauthausen, Bezirk Perg, Oberösterreich, 4310, Österreich",,"Wien, Österreich",48.2083537,16.3725042,"Wien, Österreich"
336,Girl with a Pearl Earring,Tracy Chevalier,Delft,Netherlands,Girl with a Pearl Earring (novel),"Delft, Netherlands","Delft, Zuid-Holland, Nederland",Nederland,"Delft, Zuid-Holland, Nederland","Delft, Zuid-Holland, Nederland",52.0114017,4.35839,"Delft, Zuid-Holland, Nederland"
338,The Nice and the Good,Iris Murdoch,Whitehall,Dorset,The Nice and the Good,"Whitehall, Dorset","Whitehall, Westminster, Millbank, City of Westminster, Greater London, England, SW1A 2NH, United Kingdom","Dorset, England, United Kingdom","Dorset Court, Newington, Ramsgate, Westwood, Thanet, Kent, England, CT12 6PH, United Kingdom","Dorset Court, Newington, Ramsgate, Westwood, Thanet, Kent, England, CT12 6PH, United Kingdom",51.3485314,1.3962508,"Dorset Court, Newington, Ramsgate, Westwood, Thanet, Kent, England, CT12 6PH, United Kingdom"
343,The Four Horsemen of The Apocalypse,Vicente Blasco Ibáñez,Paris,France,The Four Horsemen of the Apocalypse (Spanish novel),"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
344,Bitter Fruit,Achmat Dangor,Johannesburg,South Africa,Bitter Fruit,"Johannesburg, South Africa","Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",South Africa,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.205,28.049722,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
345,The Bee Sting,Paul Murray,Dublin,Ireland,The Bee Sting,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
347,All That Matters,Wayson Choy,Vancouver,Canada,All That Matters (novel),"Vancouver, Canada","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",Canada,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
348,Know Ye Not Agincourt?,Leslie Barringer,Agincourt,France,Know Ye Not Agincourt?,"Agincourt, France","Agincourt, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54770, France",France,"Agincourt, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54770, France","Agincourt, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54770, France",48.7323472,6.236384,"Agincourt, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54770, France"
349,World Without End,Ken Follett,South-central England (Kingsbridge and Shiring),England,World Without End (Follett novel),"South-central England (Kingsbridge and Shiring), England",,"England, United Kingdom",,"England, United Kingdom",52.5310214,-1.2649062,"England, United Kingdom"
352,The Blind Assassin,Margaret Atwood,Port Ticonderoga and Toronto,Canada,The Blind Assassin,"Port Ticonderoga and Toronto, Canada",,Canada,,Canada,61.0666922,-107.991707,Canada
355,Cryptonomicon,Neal Stephenson,Philippines,Philippines,Cryptonomicon,"Philippines, Philippines",Pilipinas,Pilipinas,Pilipinas,Pilipinas,12.7503486,122.7312101,Pilipinas
356,The Memoirs of Aaron Burr,"['Matthew Livingston Davis', 'Aaron Burr']",New York City,United States,Burr (novel),"New York City, United States","City of New York, New York, United States",United States,"City of New York, New York, United States","City of New York, New York, United States",40.7127281,-74.0060152,"City of New York, New York, United States"
357,Staying On,Paul Scott,Pankot,India,Staying On,"Pankot, India","pankot, Govindpur, Almora, Uttarakhand, 263655, India",India,"pankot, Govindpur, Almora, Uttarakhand, 263655, India","pankot, Govindpur, Almora, Uttarakhand, 263655, India",29.6917809,79.5766783,"pankot, Govindpur, Almora, Uttarakhand, 263655, India"
358,Come Rack! Come Rope!,Robert Hugh Benson,England,England,Come Rack! Come Rope!,"England, England","England, United Kingdom","England, United Kingdom","England, Buch am Erlbach, Landkreis Landshut, Bayern, 84172, Deutschland","England, Buch am Erlbach, Landkreis Landshut, Bayern, 84172, Deutschland",48.428501,12.056571,"England, Buch am Erlbach, Landkreis Landshut, Bayern, 84172, Deutschland"
363,The Sweetness of Water,Nathan Harris,Old Ox,Georgia,The Sweetness of Water,"Old Ox, Georgia","Old Ox, Greaves Lane, Oxton CP, Newark and Sherwood, Nottinghamshire, England, NG22 8BN, United Kingdom","Georgia, United States",,"Old Ox, Greaves Lane, Oxton CP, Newark and Sherwood, Nottinghamshire, England, NG22 8BN, United Kingdom",53.072063650000004,-1.054840275974086,"Old Ox, Greaves Lane, Oxton CP, Newark and Sherwood, Nottinghamshire, England, NG22 8BN, United Kingdom"
365,Normal People,Sally Rooney,Sligo,Ireland,Normal People,"Sligo, Ireland","County Sligo, Connacht, Éire / Ireland",Éire / Ireland,"County Sligo, Connacht, Éire / Ireland","County Sligo, Connacht, Éire / Ireland",54.19298605,-8.7305426729522,"County Sligo, Connacht, Éire / Ireland"
367,The Good Terrorist,Doris Lessing,London,United Kingdom,The Good Terrorist,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
369,The Bridge on the Drina,Ivo Andrić,Višegrad,Bosnia and Herzegovina,The Bridge on the Drina,"Višegrad, Bosnia and Herzegovina","Višegrad, Opština Višegrad, Република Српска / Republika Srpska, 73240, Bosna i Hercegovina / Босна и Херцеговина",Bosna i Hercegovina / Босна и Херцеговина,"Višegrad, Opština Višegrad, Република Српска / Republika Srpska, 73240, Bosna i Hercegovina / Босна и Херцеговина","Višegrad, Opština Višegrad, Република Српска / Republika Srpska, 73240, Bosna i Hercegovina / Босна и Херцеговина",43.7864291,19.294097,"Višegrad, Opština Višegrad, Република Српска / Republika Srpska, 73240, Bosna i Hercegovina / Босна и Херцеговина"
371,The Orchard on Fire,Shena Mackay,Stonebridge,Kent,The Orchard on Fire,"Stonebridge, Kent","Stonebridge, Wretham, East Wretham, Breckland, Norfolk, England, IP24 1QS, United Kingdom","Kent, England, United Kingdom","Stonebridge, Brook, Ashford, Kent, England, TN25 5PJ, United Kingdom","Stonebridge, Brook, Ashford, Kent, England, TN25 5PJ, United Kingdom",51.1595171,0.9506735,"Stonebridge, Brook, Ashford, Kent, England, TN25 5PJ, United Kingdom"
372,The Blackwater Lightship,Colm Tóibín,Dublin,Ireland,The Blackwater Lightship,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
374,A Disaffection,James Kelman,Glasgow,Scotland,A Disaffection,"Glasgow, Scotland","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Alba / Scotland, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom",55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom"
375,The Covenant,James Michener,South Africa,South Africa,The Covenant (novel),"South Africa, South Africa",South Africa,South Africa,South Africa,South Africa,-28.8166236,24.991639,South Africa
